trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
387,False,"{'a': 0.2, 'e': 0.021067999523041434}",30,21,17.820743571590906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.2, 'e': 0.020858369425214716}",30,5,28.778137244280366,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
389,False,"{'a': 0.2, 'e': 0.020650825181712566}",25,14,20.10010813771052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.2, 'e': 0.020445346037937653}",20,12,16.490450814298104,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.2, 'e': 0.02024191144580439}",20,8,17.760512124164087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.2, 'e': 0.020040501061684014}",20,16,9.07620272602425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.2, 'e': 0.019841094744370288}",20,0,30.026748379333704,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.2, 'e': 0.019643672553065292}",20,13,14.384721219376885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.2, 'e': 0.01944821474538539}",25,11,24.005873287134044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.2, 'e': 0.01925470177538692}",30,14,19.019817705572272,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.2, 'e': 0.019063114291611637}",35,19,21.96935922936383,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.2, 'e': 0.018873433135151486}",20,13,13.829981984049503,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.2, 'e': 0.018685639337732773}",35,16,27.833256953758728,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.2, 'e': 0.018499714119819242}",30,16,26.526841756177816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.2, 'e': 0.01831563888873418}",25,12,20.92875938341464,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.2, 'e': 0.018133395236801075}",25,4,26.335157282403262,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
403,False,"{'a': 0.2, 'e': 0.01795296493950285}",30,16,26.41768427879519,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.2, 'e': 0.01777432995365944}",20,9,17.75978132025798,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.2, 'e': 0.017597472415623393}",25,14,16.797736838686205,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.2, 'e': 0.017422374639493515}",20,13,14.441287252132232,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.2, 'e': 0.017249019115346265}",30,12,33.90125692765911,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.2, 'e': 0.017077388507484793}",25,0,30.55161627360464,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
409,False,"{'a': 0.2, 'e': 0.01690746565270528}",30,15,25.905634208295243,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.2, 'e': 0.016739233558580632}",20,13,11.812184363888965,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.2, 'e': 0.016572675401761255}",20,6,23.393734035858685,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
