trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,0,6.720140970435465,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",35,25,18.738506777513457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,16,6.185105941088125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,12,1.2264754546286782,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,7,18.415418832689184,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,0,3.337409587015673,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",25,7,27.689047499480377,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,0,-11.556956676971472,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,0,-13.178401987128527,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",25,11,14.09539414862277,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,0,14.14171615790655,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,8,-38.43526878801332,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",35,12,37.478208817633046,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
